game_id,quarter,score,team_name
330915011,2,14,Colts
330915011,3,3,Colts
330915011,4,0,Colts
330915011,1,14,Dolphins
330915011,2,3,Dolphins
330915011,3,7,Dolphins
330915011,4,0,Dolphins
330915012,1,7,Chiefs
330915012,2,0,Chiefs
330915012,3,7,Chiefs
330915012,4,3,Chiefs
330915012,1,10,Cowboys
330915012,2,0,Cowboys
330915012,3,3,Cowboys
330915012,4,3,Cowboys
330915021,1,3,Eagles
330915021,2,7,Eagles
330915021,3,10,Eagles
330915021,4,10,Eagles
330915021,1,3,Chargers
330915021,2,10,Chargers
330915021,3,7,Chargers
330915021,4,13,Chargers
330915033,1,0,Ravens
330915033,2,0,Ravens
330915033,3,7,Ravens
330915033,4,7,Ravens
330915033,1,3,Browns
330915033,2,3,Browns
330915033,3,0,Browns
330915033,4,0,Browns
330915034,1,7,Texans
330915034,2,0,Texans
330915034,3,7,Texans
330915034,4,10,Texans
330915034,5,6,Texans
330915034,1,7,Titans
330915034,2,3,Titans
330915034,3,0,Titans
330915034,4,14,Titans
330915034,5,0,Titans
330915022,1,0,Cardinals
330915022,2,10,Cardinals
330915022,3,6,Cardinals
330915022,4,9,Cardinals
330915022,1,0,Lions
330915022,2,14,Lions
330915022,3,7,Lions
330915022,4,0,Lions
330915027,1,7,Buccaneers
330915027,2,0,Buccaneers
330915027,3,0,Buccaneers
330915027,4,7,Buccaneers
330915027,1,10,Saints
330915027,2,0,Saints
330915027,3,3,Saints
330915027,4,3,Saints
330915013,1,7,Raiders
330915013,2,3,Raiders
330915013,3,3,Raiders
330915013,4,6,Raiders
330915013,1,0,Jaguars
330915013,2,3,Jaguars
330915013,3,0,Jaguars
330915013,4,6,Jaguars
330915019,1,3,Giants
330915019,2,6,Giants
330915019,3,7,Giants
330915019,4,7,Giants
330915019,1,0,Broncos
330915019,2,10,Broncos
330915019,3,14,Broncos
330915019,4,17,Broncos
330915026,1,0,Seahawks
330915026,2,5,Seahawks
330915026,3,7,Seahawks
330915026,4,17,Seahawks
330915026,1,0,49ers
330915026,2,0,49ers
330915026,3,3,49ers
330915026,4,0,49ers
330916004,1,7,Bengals
330916004,2,3,Bengals
330916004,3,7,Bengals
330916004,4,3,Bengals
330916004,1,3,Steelers
330916004,2,7,Steelers
330916004,3,0,Steelers
330916004,4,0,Steelers
330919021,1,6,Eagles
330919021,2,0,Eagles
330919021,3,3,Eagles
330919021,4,7,Eagles
330919021,1,10,Chiefs
330919021,2,6,Chiefs
330919021,3,0,Chiefs
330919021,4,10,Chiefs
330922004,1,14,Bengals
330922004,2,0,Bengals
330922004,3,7,Bengals
330922004,4,13,Bengals
330922004,1,0,Packers
330922004,2,16,Packers
330922004,3,14,Packers
330922004,4,0,Packers
330922006,1,10,Cowboys
330922006,2,7,Cowboys
330922006,3,7,Cowboys
330922006,4,7,Cowboys
330922006,1,0,Rams
330922006,2,0,Rams
330922006,3,7,Rams
330922006,4,0,Rams
330922010,1,0,Titans
330922010,2,10,Titans
330922010,3,0,Titans
330922010,4,10,Titans
330922010,1,7,Chargers
330922010,2,3,Chargers
330922010,3,7,Chargers
330922010,4,0,Chargers
330922016,1,7,Vikings
330922016,2,10,Vikings
330922016,3,7,Vikings
330922016,4,3,Vikings
330922016,1,7,Browns
330922016,2,17,Browns
330922016,3,0,Browns
330922016,4,7,Browns
330922017,1,0,Patriots
330922017,2,17,Patriots
330922017,3,3,Patriots
330922017,4,3,Patriots
330922017,1,3,Buccaneers
330922017,2,0,Buccaneers
330922017,3,0,Buccaneers
330922017,4,0,Buccaneers
330922018,1,7,Saints
330922018,2,7,Saints
330922018,3,3,Saints
330922018,4,14,Saints
330922018,1,7,Cardinals
330922018,2,0,Cardinals
330922018,3,0,Cardinals
330922018,4,0,Cardinals
330922028,1,7,Commanders
330922028,2,7,Commanders
330922028,3,3,Commanders
330922028,4,3,Commanders
330922028,1,7,Lions
330922028,2,10,Lions
330922028,3,0,Lions
330922028,4,10,Lions
330922029,1,7,Panthers
330922029,2,10,Panthers
330922029,3,14,Panthers
330922029,4,7,Panthers
330922029,1,0,Giants
330922029,2,0,Giants
330922029,3,0,Giants
330922029,4,0,Giants
330922033,1,0,Ravens
330922033,2,17,Ravens
330922033,3,7,Ravens
330922033,4,6,Ravens
330922033,1,3,Texans
330922033,2,6,Texans
330922033,3,0,Texans
330922033,4,0,Texans
330922015,1,0,Dolphins
330922015,2,10,Dolphins
330922015,3,10,Dolphins
330922015,4,7,Dolphins
330922015,1,7,Falcons
330922015,2,6,Falcons
330922015,3,7,Falcons
330922015,4,3,Falcons
330922020,1,7,Jets
330922020,2,10,Jets
330922020,3,3,Jets
330922020,4,7,Jets
330922020,1,0,Bills
330922020,2,6,Bills
330922020,3,6,Bills
330922020,4,8,Bills
330922025,1,7,49ers
330922025,2,0,49ers
330922025,3,0,49ers
330922025,4,0,49ers
330922025,1,7,Colts
330922025,2,3,Colts
330922025,3,3,Colts
330922025,4,14,Colts
330922026,1,7,Seahawks
330922026,2,17,Seahawks
330922026,3,14,Seahawks
330922026,4,7,Seahawks
330922026,1,0,Jaguars
330922026,2,0,Jaguars
330922026,3,10,Jaguars
330922026,4,7,Jaguars
330922023,1,0,Steelers
330922023,2,10,Steelers
330922023,3,10,Steelers
330922023,4,3,Steelers
330922023,1,17,Bears
330922023,2,7,Bears
330922023,3,3,Bears
330922023,4,13,Bears
330923007,1,10,Broncos
330923007,2,17,Broncos
330923007,3,3,Broncos
330923007,4,7,Broncos
330923007,1,0,Raiders
330923007,2,7,Raiders
330923007,3,7,Raiders
330923007,4,7,Raiders
330926014,1,3,Rams
330926014,2,0,Rams
330926014,3,0,Rams
330926014,4,8,Rams
330926014,1,0,49ers
330926014,2,14,49ers
330926014,3,7,49ers
330926014,4,14,49ers
330929002,1,6,Bills
330929002,2,14,Bills
330929002,3,3,Bills
330929002,4,0,Bills
330929002,1,0,Ravens
330929002,2,7,Ravens
330929002,3,7,Ravens
330929002,4,6,Ravens
330929005,1,7,Browns
330929005,2,0,Browns
330929005,3,3,Browns
330929005,4,7,Browns
330929005,1,0,Bengals
330929005,2,3,Bengals
330929005,3,3,Bengals
330929005,4,0,Bengals
330929008,1,3,Lions
330929008,2,27,Lions
330929008,3,7,Lions
330929008,4,3,Lions
330929008,1,3,Bears
330929008,2,10,Bears
330929008,3,3,Bears
330929008,4,16,Bears
330929012,1,0,Chiefs
330929012,2,10,Chiefs
330929012,3,7,Chiefs
330929012,4,14,Chiefs
330929012,1,0,Giants
330929012,2,7,Giants
330929012,3,0,Giants
330929012,4,0,Giants
330929016,1,10,Vikings
330929016,2,10,Vikings
330929016,3,14,Vikings
330929016,4,0,Vikings
330929016,1,7,Steelers
330929016,2,3,Steelers
330929016,3,7,Steelers
330929016,4,10,Steelers
330929027,1,7,Buccaneers
330929027,2,3,Buccaneers
330929027,3,0,Buccaneers
330929027,4,0,Buccaneers
330929027,1,0,Cardinals
330929027,2,0,Cardinals
330929027,3,0,Cardinals
330929027,4,13,Cardinals
330929030,1,3,Jaguars
330929030,2,0,Jaguars
330929030,3,0,Jaguars
330929030,4,0,Jaguars
330929030,1,0,Colts
330929030,2,20,Colts
330929030,3,14,Colts
330929030,4,3,Colts
330929034,1,0,Texans
330929034,2,20,Texans
330929034,3,0,Texans
330929034,4,0,Texans
330929034,5,0,Texans
330929034,1,3,Seahawks
330929034,2,0,Seahawks
330929034,3,3,Seahawks
330929034,4,14,Seahawks
330929034,5,3,Seahawks
330929010,1,10,Titans
330929010,2,14,Titans
330929010,3,0,Titans
330929010,4,14,Titans
330929010,1,0,Jets
330929010,2,6,Jets
330929010,3,0,Jets
330929010,4,7,Jets
330929007,1,14,Broncos
330929007,2,7,Broncos
330929007,3,21,Broncos
330929007,4,10,Broncos
330929007,1,3,Eagles
330929007,2,10,Eagles
330929007,3,0,Eagles
330929007,4,7,Eagles
330929013,1,14,Raiders
330929013,2,0,Raiders
330929013,3,0,Raiders
330929013,4,0,Raiders
330929013,1,0,Commanders
330929013,2,10,Commanders
330929013,3,7,Commanders
330929013,4,7,Commanders
330929024,1,7,Chargers
330929024,2,6,Chargers
330929024,3,7,Chargers
330929024,4,10,Chargers
330929024,1,0,Cowboys
330929024,2,21,Cowboys
330929024,3,0,Cowboys
330929024,4,0,Cowboys
330929001,1,3,Falcons
330929001,2,7,Falcons
330929001,3,0,Falcons
330929001,4,13,Falcons
330929001,1,0,Patriots
330929001,2,10,Patriots
330929001,3,3,Patriots
330929001,4,17,Patriots
330930018,1,7,Saints
330930018,2,14,Saints
330930018,3,14,Saints
330930018,4,3,Saints
330930018,1,3,Dolphins
330930018,2,7,Dolphins
330930018,3,0,Dolphins
330930018,4,7,Dolphins
331003005,1,0,Browns
331003005,2,17,Browns
331003005,3,7,Browns
331003005,4,13,Browns
331003005,1,10,Bills
331003005,2,0,Bills
331003005,3,14,Bills
331003005,4,0,Bills
331006003,1,0,Bears
331006003,2,7,Bears
331006003,3,3,Bears
331006003,4,8,Bears
331006003,1,6,Saints
331006003,2,14,Saints
331006003,3,3,Saints
331006003,4,3,Saints
331006004,1,0,Bengals
331006004,2,3,Bengals
331006004,3,3,Bengals
331006004,4,7,Bengals
331006004,1,0,Patriots
331006004,2,3,Patriots
331006004,3,0,Patriots
331006004,4,3,Patriots
331006009,1,3,Packers
331006009,2,3,Packers
331006009,3,10,Packers
331006009,4,6,Packers
331006009,1,0,Lions
331006009,2,3,Lions
331006009,3,0,Lions
331006009,4,6,Lions
331006010,1,0,Titans
331006010,2,0,Titans
331006010,3,10,Titans
331006010,4,7,Titans
331006010,1,7,Chiefs
331006010,2,6,Chiefs
331006010,3,0,Chiefs
331006010,4,13,Chiefs
331006011,1,7,Colts
331006011,2,10,Colts
331006011,3,6,Colts
331006011,4,11,Colts
331006011,1,12,Seahawks
331006011,2,7,Seahawks
331006011,3,9,Seahawks
331006011,4,0,Seahawks
331006014,1,7,Rams
331006014,2,17,Rams
331006014,3,0,Rams
331006014,4,10,Rams
331006014,1,10,Jaguars
331006014,2,0,Jaguars
331006014,3,3,Jaguars
331006014,4,7,Jaguars
331006015,1,3,Dolphins
331006015,2,10,Dolphins
331006015,3,0,Dolphins
331006015,4,10,Dolphins
331006015,1,3,Ravens
331006015,2,3,Ravens
331006015,3,10,Ravens
331006015,4,10,Ravens
331006019,1,7,Giants
331006019,2,0,Giants
331006019,3,14,Giants
331006019,4,0,Giants
331006019,1,3,Eagles
331006019,2,16,Eagles
331006019,3,3,Eagles
331006019,4,14,Eagles
331006022,1,0,Cardinals
331006022,2,3,Cardinals
331006022,3,9,Cardinals
331006022,4,10,Cardinals
331006022,1,3,Panthers
331006022,2,3,Panthers
331006022,3,0,Panthers
331006022,4,0,Panthers
331006006,1,14,Cowboys
331006006,2,6,Cowboys
331006006,3,13,Cowboys
331006006,4,15,Cowboys
331006006,1,7,Broncos
331006006,2,21,Broncos
331006006,3,10,Broncos
331006006,4,13,Broncos
331006025,1,14,49ers
331006025,2,7,49ers
331006025,3,3,49ers
331006025,4,10,49ers
331006025,1,0,Texans
331006025,2,0,Texans
331006025,3,3,Texans
331006025,4,0,Texans
331006013,1,14,Raiders
331006013,2,3,Raiders
